"","idvar","year","X","countryname","ccode","gdppercap","population","LoTPoliceCriminal","LoTPoliceDissident","LoTPoliceMarginalized","LoTPoliceStateAgent","LoTPrisonCriminal","LoTPrisonDissident","LoTPrisonMarginalized","LoTPrisonStateAgent","LoTMilitaryCriminal","LoTMilitaryDissident","LoTMilitaryMarginalized","LoTMilitaryStateAgent","LoTIntelligenceCriminal","LoTIntelligenceDissident","LoTIntelligenceMarginalized","LoTIntelligenceStateAgent","LoTImmigrationCriminal","LoTImmigrationDissident","LoTImmigrationMarginalized","LoTImmigrationStateAgent","LoTParamilitaryCriminal","LoTParamilitaryDissident","LoTParamilitaryMarginalized","LoTParamilitaryStateAgent","RstrctAccess","uds.mean","uds.sd","uds.median","uds.025","uds.975","polity2","xconst","parreg","parcomp","exconst","bornyear","endyear","democracy","agedem","agereg","polityDemoc","cyear","lotPolCri","lotPolDis","lotPolMar","lotPolSA","lotPriCri","lotPriDis","lotPriMar","lotPriSA","lotMilCri","lotMilDis","lotMilMar","lotMilSA","lotIntCri","lotIntDis","lotIntMar","lotIntSA","lotImmCri","lotImmDis","lotImmMar","lotImmSA","lotParCri","lotParDis","lotParMar","lotParSA","codingstart","COWcode","v2x_polyarchy","v2x_api","v2x_mpi","v2x_jucon","CIRI","UNCTRY","POLITY","INJUD"
"1",100,1995,1,"Colombia","COL",2470.683383,37441980,0,5,0,0,3,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0.22021491205476,0.119795458314114,0.222769103485201,-0.0183825222609578,0.453664812096502,7,6,2,3,6,1831,2008,1,38,38,1,-5,0,5,0,0,3,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1900,100,0.554438178962899,0.776637826047983,0.332238531877814,0.83180183172226,212,170,100,1
"2",100,1996,2,"Colombia","COL",2553.549618,38049040,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.221715993853891,0.119667747436753,0.22306791462903,-0.0144649664842513,0.455401602992963,7,6,2,3,6,1831,2008,1,39,39,1,-4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1900,100,0.55237563578775,0.775173743412373,0.329577528163127,0.83180183172226,212,170,100,1
"3",100,1997,3,"Colombia","COL",2759.952882,38645409,3,3,3,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0.21962808767759,0.122003754445549,0.220883444263825,-0.0199772048799655,0.449248408408458,7,6,2,3,6,1831,2008,1,40,40,1,-3,3,3,3,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,5,5,0,1900,100,0.54953737876203,0.773120346161419,0.325954411362641,0.83180183172226,212,170,100,1
"4",100,1998,4,"Colombia","COL",2509.139908,39234059,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.26506457047888,0.119319380825776,0.265558016489097,0.0304012354199106,0.496342251974154,7,6,2,3,6,1831,2008,1,41,41,1,-2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1900,100,0.549751887580982,0.773866479243292,0.325637295918672,0.83180183172226,212,170,100,1
"5",100,1999,5,"Colombia","COL",2164.432876,39819279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0.166131720305368,0.128116807567465,0.166931807945353,-0.0842141307526305,0.413324185707206,7,6,2,3,6,1831,2008,1,42,42,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1900,100,0.528749163540317,0.759564190232053,0.297934136848581,0.83180183172226,212,170,100,1
"6",100,2000,6,"Colombia","COL",2472.197776,40403959,0,0,0,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0.151899001304251,0.118569969633565,0.15075275181241,-0.077741387418108,0.391062176127095,7,6,2,3,6,1831,2008,1,43,43,1,0,0,0,0,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,1900,100,0.54137917995147,0.768788260441295,0.313970099461645,0.83180183172226,212,170,100,1
"7",100,2001,7,"Colombia","COL",2395.856522,40988909,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0.168399589555353,0.128685808661389,0.169271100662404,-0.0753339333933512,0.415520120321725,7,6,2,3,6,1831,2008,1,44,44,1,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1900,100,0.541671404524136,0.769168093575043,0.314174715473229,0.83180183172226,212,170,100,1
"8",100,2002,8,"Colombia","COL",2355.725753,41572493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.163999594666746,0.12782316548385,0.166711441653195,-0.0869008620404645,0.40830037221966,7,6,2,3,6,1831,2008,1,45,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1900,100,0.512796953904102,0.748125186035005,0.2774687217732,0.83180183172226,212,170,100,1
"9",100,2003,9,"Colombia","COL",2246.257648,42152147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.166827581817708,0.127720439470697,0.167387576738584,-0.0861458996761115,0.413239091601505,7,6,2,3,6,1831,2008,1,46,46,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1900,100,0.461667976586164,0.712516800336589,0.210819152835739,0.83180183172226,212,170,100,1
"10",100,2004,10,"Colombia","COL",2740.249866,42724157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16675890825859,0.125750027764627,0.167031380750688,-0.0758541106677221,0.415897924263472,7,6,2,3,6,1831,2008,1,47,47,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,100,0.471710516048724,0.721108436171335,0.222312595926113,0.83180183172226,212,170,100,1
"11",100,2005,11,"Colombia","COL",3386.025478,43285636,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,1,0.216353193675859,0.126900396747271,0.218099091692041,-0.0312337469688288,0.465143970128316,7,6,2,3,6,1831,2008,1,48,48,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1900,100,0.466133337629827,0.716755627442593,0.215511047817062,0.84364527463913,212,170,100,1
"12",101,1995,12,"Venezuela, RB","VEN",3375.089125,22188671,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648638949578801,0.161307164554599,0.638991704333294,0.360108259368712,0.996615837754713,8,6,2,4,6,1841,2008,1,37,37,1,-5,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.809420211355139,0.917395678512755,0.701444744197524,0.701475977897644,674,862,101,1
"13",101,1996,13,"Venezuela, RB","VEN",3013.729081,22649212,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684810618788698,0.165474369796701,0.676201804783659,0.387571819170561,1.03465880776329,8,6,2,4,6,1841,2008,1,38,38,1,-4,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.809420211355139,0.917395678512755,0.701444744197524,0.701475977897644,674,862,101,1
"14",101,1997,14,"Venezuela, RB","VEN",3714.617216,23108003,0,0,3,0,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685279390931727,0.164285631706298,0.679735671704387,0.388329203670424,1.03483065201194,8,6,2,4,6,1841,2008,1,39,39,1,-3,0,0,3,0,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.809420211355139,0.917395678512755,0.701444744197524,0.701475977897644,674,862,101,1
"15",101,1998,15,"Venezuela, RB","VEN",3875.904843,23565734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644630696239876,0.161310744526517,0.636799169289664,0.357306295736396,0.982015281807461,8,6,2,4,6,1841,2008,1,40,40,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.815071122488369,0.91977547383954,0.710366771137199,0.664765119552612,674,862,101,1
"16",101,1999,16,"Venezuela, RB","VEN",4078.287002,24023355,2,0,0,0,2,0,-99,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297445120445504,0.128786240369671,0.299961113393309,0.0389241705536262,0.548944363369831,7,5,2,4,5,1841,2008,1,41,41,1,-1,2,0,0,0,2,0,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.739082218566302,0.881904349883491,0.596260087249114,0.595339775085449,674,862,101,1
"17",101,2000,17,"Venezuela, RB","VEN",4785.153059,24481477,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475284422127621,0.129359894128873,0.470752519040109,0.237695686150893,0.741303167042611,7,5,2,4,5,1841,2008,1,42,42,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.642784456444839,0.828761837875743,0.456807075013936,0.33166778087616,674,862,101,1
"18",101,2001,18,"Venezuela, RB","VEN",4928.17304,24940223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463479541261013,0.136782096171801,0.458903791650429,0.210411196482084,0.747159473969791,6,5,2,3,5,1841,2008,1,43,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.604319485005857,0.806404841812205,0.40223412819951,0.33166778087616,674,862,101,1
"19",101,2002,19,"Venezuela, RB","VEN",3657.193748,25399143,3,3,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172306934131981,0.129968714368894,0.172492342545586,-0.0810935436656647,0.423779058140018,6,5,2,3,5,1841,2008,1,44,44,1,2,3,3,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.591538386781852,0.796795961001875,0.386280812561829,0.33166778087616,674,862,101,1
"20",101,2003,20,"Venezuela, RB","VEN",3233.956106,25857553,3,2,5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279723416569733,0.127328331774042,0.281824850520741,0.0228852303174306,0.519743757502492,6,5,2,3,5,1841,2008,1,45,45,1,3,3,2,5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.568413356738135,0.782574357291398,0.354252356184873,0.314967542886734,674,862,101,0
"21",101,2004,21,"Venezuela, RB","VEN",4273.365372,26314483,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220135586940892,0.128573266486118,0.220080042777046,-0.0319017472196518,0.47335865212979,6,5,2,3,5,1841,2008,1,46,46,1,4,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.566351996452921,0.781154036372803,0.351549956533039,0.185311958193779,674,862,101,0
"22",101,2005,22,"Venezuela, RB","VEN",5435.87226,26769115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193829008645932,0.128823029896097,0.194796428455593,-0.0516466572381069,0.441168850200864,6,5,2,3,5,1841,2008,1,47,47,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,101,0.553786625956332,0.772760083945434,0.334813167967229,0.0759073123335838,674,862,101,0
"23",110,1995,23,"Guyana","GUY",855.416352,726695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30785872176536,0.177581398213053,0.310310512233902,-0.043781723195235,0.660739875876381,6,5,2,3,5,1966,2008,0,30,30,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.519055104020283,0.753708560627849,0.284401647412718,0.718992710113525,320,328,110,2
"24",110,1996,24,"Guyana","GUY",966.0541821,730193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310030387247412,0.181716882090361,0.311816253772013,-0.0522151517821069,0.667597859006703,6,5,2,3,5,1966,2008,0,31,31,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.519055104020283,0.753708560627849,0.284401647412718,0.718992710113525,320,328,110,2
"25",110,1997,25,"Guyana","GUY",1020.827044,733854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309118630086326,0.182669283580509,0.310728758677824,-0.0440244309192873,0.664024119281586,6,5,2,3,5,1966,2008,0,32,32,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.541784457333462,0.768923665950532,0.314645248716391,0.723012506961823,320,328,110,2
"26",110,1998,26,"Guyana","GUY",973.1657568,737316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305860113367849,0.186379832244939,0.30626722414739,-0.0549130763021377,0.668638596690238,6,5,2,3,5,1966,2008,0,33,33,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.60672986029009,0.809571267208154,0.403888453372025,0.667513847351074,320,328,110,1
"27",110,1999,27,"Guyana","GUY",938.618364,740189,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306643569587517,0.181976072337816,0.31014846312846,-0.0634648801297798,0.656750437806631,6,5,2,3,5,1966,2008,0,34,34,1,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.607906726264293,0.810102796757698,0.405710655770889,0.667513847351074,320,328,110,1
"28",110,2000,28,"Guyana","GUY",960.1867601,742218,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37118218405972,0.156640266310174,0.373115021159446,0.0516140970091763,0.679801841741477,6,5,2,3,5,1966,2008,0,35,35,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.60278912059591,0.806456042324399,0.399122198867422,0.697331726551056,320,328,110,1
"29",110,2001,29,"Guyana","GUY",936.9162239,743163,-99,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361423070816724,0.182733667025121,0.367453241737012,0.00121752561421161,0.719668614954755,6,5,2,3,5,1966,2008,0,36,36,1,1,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.615603882397066,0.814267096029845,0.416940668764286,0.612701594829559,320,328,110,1
"30",110,2002,30,"Guyana","GUY",972.2164996,743107,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356088199259821,0.179694921850808,0.350772226036229,0.00536218151206139,0.711655084233386,6,5,2,3,5,1966,2008,0,37,37,1,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.624055946695477,0.819418597066856,0.428693296324098,0.587423026561737,320,328,110,1
"31",110,2003,31,"Guyana","GUY",999.1816472,742537,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358934758325502,0.177088197644558,0.358191026493519,0.000962927262588318,0.699502624306413,6,5,2,3,5,1966,2008,0,38,38,1,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.626288571881858,0.820454087370555,0.432123056393162,0.587423026561737,320,328,110,1
"32",110,2004,32,"Guyana","GUY",1058.958515,742162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359549713444008,0.178580250510261,0.360240461528084,0.00910349041690458,0.707396559223854,6,5,2,3,5,1966,2008,0,39,39,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.626288571881858,0.820454087370555,0.432123056393162,0.587423026561737,320,328,110,1
"33",110,2005,33,"Guyana","GUY",1110.957717,742495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253258999767292,0.183071953946139,0.2546873893501,-0.107905376945304,0.606603365108103,6,5,2,3,5,1966,2008,0,40,40,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,110,0.626288571881858,0.820454087370555,0.432123056393162,0.587423026561737,320,328,110,1
"34",115,1995,34,"Suriname","SUR",1556.581182,445830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364406676695047,0.19232992962179,0.362419275118926,0.0025369903219389,0.75004422652085,5,5,3,4,5,1975,2008,1,5,5,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.799736090675056,0.911933143117877,0.687539038232234,0.916652202606201,602,740,115,1
"35",115,1996,35,"Suriname","SUR",1897.112821,453653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422799487998974,0.190877440515739,0.415861095073724,0.0640168422501615,0.809220378246106,5,5,3,4,5,1975,2008,1,6,6,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.82572053331605,0.924435937263101,0.727005129368998,0.916652202606201,602,740,115,1
"36",115,1997,36,"Suriname","SUR",2014.016323,461569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424288952220924,0.189898488226656,0.422929877170993,0.0659947838078994,0.799139396775964,5,5,3,4,5,1975,2008,1,7,7,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.826430002223449,0.924741881516501,0.728118122930396,0.916652202606201,602,740,115,1
"37",115,1998,37,"Suriname","SUR",2014.461489,469108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421084635288507,0.196527688086495,0.416220878719624,0.0318976344011203,0.816204290423972,5,5,3,4,5,1975,2008,1,8,8,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.826430002223449,0.924741881516501,0.728118122930396,0.916652202606201,602,740,115,1
"38",115,1999,38,"Suriname","SUR",1861.596524,475637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423565289189969,0.194776959473787,0.422896302613741,0.0479064050489625,0.803520612066967,5,5,3,4,5,1975,2008,1,9,9,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.826430002223449,0.924741881516501,0.728118122930396,0.916652202606201,602,740,115,1
"39",115,2000,39,"Suriname","SUR",1855.77231,480751,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741553811204914,0.182758982872015,0.739668193615391,0.390251270573529,1.10771695613497,5,5,3,4,5,1975,2008,1,10,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.833888733870579,0.928252742144631,0.739524725596527,0.916652202606201,602,740,115,1
"40",115,2001,40,"Suriname","SUR",1576.724046,484210,-99,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627974610744989,0.202082476313391,0.627368461117149,0.23498088574293,1.02697420728606,5,5,3,4,5,1975,2008,1,11,11,0,1,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.830550967299596,0.926704856002924,0.734397078596268,0.916652202606201,602,740,115,2
"41",115,2002,41,"Suriname","SUR",2217.697802,486271,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636358590645333,0.206628805800343,0.631913510161035,0.251435612349815,1.04674918344073,5,5,3,4,5,1975,2008,1,12,12,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.830550967299596,0.926704856002924,0.734397078596268,0.885172605514526,602,740,115,1
"42",115,2003,42,"Suriname","SUR",2606.827725,487641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634852371918152,0.201528823823476,0.632587355141622,0.246084986699234,1.03174253355062,5,5,3,4,5,1975,2008,1,13,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.830550967299596,0.926704856002924,0.734397078596268,0.885172605514526,602,740,115,1
"43",115,2004,43,"Suriname","SUR",3033.018889,489312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633965092225539,0.2016005636556,0.635608937784693,0.247176521479019,1.03251062600915,5,5,3,4,5,1975,2008,1,14,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.830550967299596,0.926704856002924,0.734397078596268,0.885172605514526,602,740,115,1
"44",115,2005,44,"Suriname","SUR",3645.894998,491999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550614037415007,0.198724618337955,0.545564604667572,0.170117172804445,0.952662901091622,5,5,3,4,5,1975,2008,1,15,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,115,0.830809309821925,0.926867400346456,0.734751219297394,0.885172605514526,602,740,115,2
"45",130,1995,45,"Ecuador","ECU",2135.634119,11440576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742678199921569,0.171509464809525,0.732637693117274,0.434217887731873,1.10442049736803,9,7,2,4,7,1854,2008,1,17,17,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.729905855398248,0.877463208348375,0.582348502448121,0.392591774463654,260,218,130,1
"46",130,1996,46,"Ecuador","ECU",2159.150629,11683480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701908590355079,0.167670174603242,0.694489811114906,0.395166362119851,1.04857644705955,9,7,2,4,7,1854,2008,1,18,18,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.728423039341528,0.876926836100185,0.579919242582872,0.373294174671173,260,218,130,1
"47",130,1997,47,"Ecuador","ECU",2361.59952,11924991,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547318305876453,0.140041598691695,0.539882022103264,0.288785859498468,0.837693673664935,8,7,2,4,7,1854,2008,1,19,19,1,-3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.726498360934645,0.875837316642049,0.577159405227241,0.40101370215416,260,218,130,1
"48",130,1998,48,"Ecuador","ECU",2300.407505,12163887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696769893148748,0.165735016978305,0.685644236036261,0.395146043068374,1.04761527468472,9,7,2,4,7,1854,2008,1,20,20,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.738042074345759,0.881522051365881,0.594562097325637,0.40101370215416,260,218,130,1
"49",130,1999,49,"Ecuador","ECU",1584.463443,12398691,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678011956033068,0.171210563978785,0.66974301216735,0.359750028300121,1.03778686626544,9,7,2,4,7,1854,2008,1,21,21,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.737575795184595,0.881251722288098,0.593899868081092,0.403825759887695,260,218,130,1
"50",130,2000,50,"Ecuador","ECU",1451.290776,12628596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21071862464672,0.118769269833628,0.212275027720329,-0.0247940122484754,0.440870863419327,6,6,2,3,6,1854,2008,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.738063944377048,0.881556939436593,0.594570949317502,0.359492212533951,260,218,130,1
"51",130,2001,51,"Ecuador","ECU",1903.741868,12852753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350913394189882,0.117445165264486,0.350085304981767,0.126118059650739,0.594892068623439,6,6,2,3,6,1854,2008,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.738063944377048,0.881556939436593,0.594570949317502,0.359492212533951,260,218,130,1
"52",130,2002,52,"Ecuador","ECU",2183.967465,13072056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470076826112019,0.133283934537527,0.465178718591175,0.223292430280661,0.758242542391328,6,6,2,3,6,1854,2008,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.742537944766296,0.883679552327429,0.601396337205163,0.359492212533951,260,218,130,1
"53",130,2003,53,"Ecuador","ECU",2440.469164,13289600,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552088027347156,0.150769212811445,0.545728615028402,0.274675105627683,0.866999737542762,6,6,2,3,6,1854,2008,1,2,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.739192848400265,0.881928281676192,0.596457415124338,0.35810062289238,260,218,130,1
"54",130,2004,54,"Ecuador","ECU",2708.558293,13509645,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320877836717428,0.125863520411682,0.323686377353694,0.0679939341956786,0.561319238835119,6,6,2,3,6,1854,2008,1,3,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.739192848400265,0.881928281676192,0.596457415124338,0.362109154462814,260,218,130,1
"55",130,2005,55,"Ecuador","ECU",3021.942767,13735232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264226551074791,0.12524218156558,0.262412601029697,0.0231330612595999,0.509529199144154,6,6,2,3,6,1854,2008,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,130,0.739192848400265,0.881928281676192,0.596457415124338,0.403903782367706,260,218,130,1
